velocidad_balax,bala_h_x,velocidad_balay,bala_v_y,accion_horizontal,salto
-6,406,5,200,0,0
-6,400,5,205,0,0
-6,394,5,210,0,0
-6,388,5,215,0,0
-6,382,5,220,0,0
-6,376,5,225,0,0
-6,345,5,230,1,0
-6,339,5,235,1,0
-6,333,5,240,1,0
-6,327,5,245,0,0
-6,321,5,250,0,0
-6,315,5,255,0,0
-6,309,5,260,0,0
-6,303,5,265,0,0
-6,297,5,270,0,0
-6,291,5,275,0,0
-6,285,5,280,0,0
-6,279,5,285,0,0
-6,273,5,290,0,0
-6,267,5,295,0,0
-6,261,5,300,0,0
-6,255,5,305,0,0
-6,249,5,310,0,0
-6,243,5,315,0,0
-6,237,5,320,0,0
-6,231,5,325,0,0
-6,225,5,330,0,0
-6,219,5,335,0,0
-6,213,5,340,0,0
-6,207,5,345,0,0
-6,201,5,350,0,0
-6,195,5,355,0,0
-6,189,5,360,0,0
-6,183,5,365,0,0
-6,177,5,370,0,0
-6,171,5,375,0,0
-6,190,5,380,0,0
-6,184,5,385,0,0
-6,178,5,390,0,0
-6,172,5,395,0,0
-6,166,5,400,0,0
-6,160,5,0,0,0
-6,154,5,5,0,0
-6,148,5,10,0,0
-6,142,5,15,0,0
-6,136,5,20,0,0
-6,130,5,25,0,1
-6,124,5,30,0,1
-6,118,5,35,0,1
-6,112,5,40,0,1
-6,106,5,45,0,1
-6,100,5,50,0,1
-6,94,5,55,0,1
-6,88,5,60,0,1
-6,82,5,65,0,1
-6,76,5,70,0,1
-6,70,5,75,0,1
-6,64,5,80,0,1
-6,58,5,85,0,1
-6,52,5,90,0,1
-6,46,5,95,0,1
-6,40,5,100,0,1
-6,34,5,105,0,1
-6,28,5,110,0,1
-6,22,5,115,0,1
-6,16,5,120,0,1
-6,10,5,125,0,1
-6,4,5,130,0,1
-6,-2,5,135,0,1
-6,-8,5,140,0,1
-6,-14,5,145,0,1
-6,-20,5,150,0,1
-6,-26,5,155,0,1
-6,-32,5,160,0,1
-6,-38,5,165,0,1
-6,-44,5,170,0,1
-6,-50,5,175,0,0
-3,700,5,180,0,0
-3,697,5,185,0,0
-3,694,5,190,0,0
-3,691,5,195,0,0
-3,688,5,200,0,0
-3,685,5,205,0,0
-3,682,5,210,0,0
-3,679,5,215,0,0
-3,676,5,220,0,0
-3,673,5,225,0,0
-3,670,5,230,0,0
